Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),absolute_accel,Activity,Position
1.917699750E0,9.133134502E-1,-5.70E-01,-3.68E-01,1.137865210E0,Walking,Hand
1.927671750E0,1.053192882E0,-6.10E-01,-3.02E-01,1.253893943E0,Walking,Hand
1.937642750E0,1.171325349E0,-5.87E-01,-2.48E-01,1.333528857E0,Walking,Hand
1.947614750E0,1.176335244E0,-5.86E-01,-2.35E-01,1.335114480E0,Walking,Hand
1.957585750E0,1.019157994E0,-6.17E-01,-2.64E-01,1.220122582E0,Walking,Hand
1.967557750E0,9.476383603E-1,-5.91E-01,-3.76E-01,1.178615088E0,Walking,Hand
1.977529750E0,9.318690044E-1,-4.80E-01,-4.35E-01,1.134680123E0,Walking,Hand
1.987500750E0,6.599471641E-1,-3.58E-01,-3.64E-01,8.341893953E-1,Walking,Hand
1.997472750E0,2.005711913E-1,-2.82E-01,-2.06E-01,4.030475202E-1,Walking,Hand
2.007443750E0,-2.14E-01,-2.49E-01,-4.35E-02,3.312233706E-1,Walking,Hand
2.017415750E0,-4.60E-01,-1.98E-01,-1.91E-02,5.012652181E-1,Walking,Hand
2.027387750E0,-7.87E-01,-1.35E-01,-4.54E-02,7.996884771E-1,Walking,Hand
2.037358750E0,-1.03E+00,-1.78E-01,1.695809484E-2,1.043279305E0,Walking,Hand
2.047330750E0,-1.13E+00,-3.41E-01,-1.41E-01,1.189463188E0,Walking,Hand
2.057301750E0,-1.05E+00,-4.16E-01,-2.76E-01,1.166893218E0,Walking,Hand
2.067273750E0,-8.29E-01,-3.59E-01,-2.66E-01,9.412477935E-1,Walking,Hand
2.077244750E0,-6.23E-01,-2.93E-01,-2.21E-01,7.231021038E-1,Walking,Hand
2.087216750E0,-3.90E-01,-2.26E-01,-1.67E-01,4.800347051E-1,Walking,Hand
2.097188750E0,-1.41E-01,-5.66E-02,-1.09E-01,1.866646860E-1,Walking,Hand
2.107159750E0,2.633059680E-2,1.471767569E-1,5.202297002E-2,1.583056774E-1,Walking,Hand
2.117131750E0,1.637337327E-2,3.560688284E-1,1.970371342E-1,4.072796707E-1,Walking,Hand
2.127102750E0,-6.88E-03,5.464573860E-1,2.279689050E-1,5.921426152E-1,Walking,Hand
2.137074750E0,1.269541615E-1,7.036036456E-1,1.899333519E-1,7.397635618E-1,Walking,Hand
2.147046750E0,3.050983572E-1,8.569059455E-1,1.500492015E-1,9.218934700E-1,Walking,Hand
2.157017750E0,3.232527924E-1,9.006594908E-1,9.903896928E-2,9.620231825E-1,Walking,Hand
2.166989750E0,3.035681409E-1,9.376711965E-1,4.417571425E-3,9.855964711E-1,Walking,Hand
2.176960750E0,3.861939758E-1,9.872947615E-1,-1.63E-01,1.072617555E0,Walking,Hand
2.186932750E0,4.922542816E-1,9.958705804E-1,-2.74E-01,1.144061057E0,Walking,Hand
2.196904750E0,5.233187842E-1,1.052795856E0,-3.11E-01,1.216079735E0,Walking,Hand
2.206875750E0,4.647600889E-1,1.162522366E0,-3.50E-01,1.299886424E0,Walking,Hand
2.216847750E0,3.997969383E-1,1.350568821E0,-5.13E-01,1.498959868E0,Walking,Hand
2.226818750E0,1.971417993E-1,1.559995621E0,-5.97E-01,1.681745491E0,Walking,Hand
